crop,ideal_days_to_harvest,avg_alltime_yield_per_flat_oz,sale_price_per_oz,sale_price_per_8oz,sale_price_per_16oz,sale_price_per_live_flat
arugula,16,3.53,$6,$38,$66,$40
basil,28,3.18,$7,$45,$77,$47
beet,18,1.78,$8,$51,$88,$53
benitade,20,2.44,$9,$58,$99,$60
broccoli,23,7.34,$5,$32,$55,$34
cabbage,14,5,$6,$38,$66,$40
cilantro,15,3.61,$6,$38,$66,$40
cress,17,4.58,$6,$38,$66,$40
kale,21,7.97,$5,$32,$55,$34
kohlrabi,17,6.22,$6,$38,$66,$40
mustard,20,3.16,$6,$38,$66,$40
nasturtium,11,11.44,$6,$38,$66,$40
parsley,24,4.59,$6,$38,$66,$40
pea,13,10.02,$5,$32,$55,$34
radish,13,8.52,$6,$38,$66,$40
shiso,28,3.31,$7,$45,$77,$47
sunflower,14,8.23,$5,$32,$55,$34
swiss chard,19,2.12,$8,$51,$88,$53